"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"mitochondrion inheritance [GO:0000001]",1,1,1,1,1,1,1,1,1,1
"mitochondrial genome maintenance [GO:0000002]",0.30483986281689,1,1,1,1,1,1,1,1,1
"reproduction [GO:0000003]",0.540648684615024,0.851903695109787,0.643582321861728,0.612814555204373,0.405326334799305,1,0.978493678449887,0.0527064809838027,0.0261429067652105,0.376659002623605
"vacuole inheritance [GO:0000011]",1,1,1,1,1,1,1,1,1,1
"single strand break repair [GO:0000012]",1,1,1,1,0.0959028047046659,1,1,1,1,1
"alpha-glucoside transport [GO:0000017]",1,1,1,1,1,1,1,1,1,1
"regulation of DNA recombination [GO:0000018]",0.87100336006633,1,1,0.321384280283455,1,1,1,0.102796551030731,1,1
"regulation of mitotic recombination [GO:0000019]",0.552151996898022,1,1,1,1,1,1,1,1,1
"negative regulation of recombination within rDNA repeats [GO:0000020]",1,1,1,1,1,1,1,1,1,1
"mitotic spindle elongation [GO:0000022]",1,1,1,1,1,1,1,1,1,1
"maltose metabolic process [GO:0000023]",1,1,1,1,1,1,1,1,1,1
"maltose biosynthetic process [GO:0000024]",1,1,1,1,1,1,1,1,1,1
"maltose catabolic process [GO:0000025]",1,1,1,1,1,1,1,1,1,1
"ribosomal large subunit assembly [GO:0000027]",1,1,1,1,1,1,1,1,1,1
"ribosomal small subunit assembly [GO:0000028]",0.799464130979156,1,1,1,1,1,1,0.0424530710285754,1,1
"cell wall mannoprotein biosynthetic process [GO:0000032]",1,1,1,1,1,1,1,1,1,1
"very long-chain fatty acid metabolic process [GO:0000038]",0.168282639202083,1,1,1,1,1,1,1,1,1
"low-affinity iron ion transport [GO:0000040]",1,1,1,1,1,1,1,1,1,1
"transition metal ion transport [GO:0000041]",0.348424290857786,0.600111808196301,1,0.889438362054854,0.611847879269358,1,1,1,0.0105851055586074,1
"protein targeting to Golgi [GO:0000042]",1,1,1,0.228253845159623,1,1,1,1,1,1
"ascorbate stabilization [GO:0000044]",1,1,1,1,1,1,1,1,1,1
"autophagic vacuole assembly [GO:0000045]",0.951672122321701,0.0535417087340367,0.198689018731618,0.644534182779574,0.596613296472363,1,1,1,1,1
"autophagic vacuole fusion [GO:0000046]",0.799464130979156,0.083490450472414,1,1,1,1,1,1,1,1
"urea cycle [GO:0000050]",0.959811006139677,1,1,0.22557295937955,0.331925722052428,1,1,1,1,1
"urea cycle intermediate metabolic process [GO:0000051]",1,1,1,1,1,1,1,1,1,1
"citrulline metabolic process [GO:0000052]",1,1,1,0.404430643175149,0.182619469506778,1,1,1,1,1
"argininosuccinate metabolic process [GO:0000053]",1,1,1,1,1,1,1,1,1,1
"ribosomal subunit export from nucleus [GO:0000054]",0.552151996898022,1,1,1,1,1,1,1,1,1
"ribosomal large subunit export from nucleus [GO:0000055]",1,1,1,1,1,1,1,1,1,1
"ribosomal small subunit export from nucleus [GO:0000056]",0.552151996898022,1,1,1,1,1,1,1,1,1
"protein import into nucleus, docking [GO:0000059]",1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, translocation [GO:0000060]",0.270475867417991,1,1,0.70357034216719,1,1,1,1,0.0725262794352005,1
"protein import into nucleus, substrate release [GO:0000061]",1,1,1,1,1,1,1,1,1,1
"mitochondrial ornithine transport [GO:0000066]",0.552151996898022,1,1,1,1,1,1,1,1,1
"DNA replication and chromosome cycle [GO:0000067]",1,1,1,1,1,1,1,1,1,1
"mitotic sister chromatid segregation [GO:0000070]",0.171060581534425,0.457064019947174,1,1,0.144387813393079,1,1,1,1,1
"M phase specific microtubule process [GO:0000072]",1,1,1,1,1,1,1,1,1,1
"spindle pole body separation [GO:0000073]",1,1,1,1,1,1,1,1,1,1
"cell cycle checkpoint [GO:0000075]",0.770381273101542,0.694101501611803,0.327900517880218,0.537315237192099,0.695236887283864,1,0.160536146608819,0.26323729590752,0.12808656020335,1
"DNA replication checkpoint [GO:0000076]",0.761443147362903,1,1,0.22557295937955,1,1,1,1,1,1
"DNA damage checkpoint [GO:0000077]",0.732796203595177,0.657150466356486,0.361647506782016,0.536862959031972,0.7481467105876,1,0.214862354588726,0.307271732673437,0.32469031665201,1
"cell shape checkpoint [GO:0000078]",1,1,1,1,1,1,1,1,1,1
"regulation of cyclin-dependent protein kinase activity [GO:0000079]",0.348584743707089,0.336898534313451,0.498418492762364,0.799912649672978,0.764588320223226,1,0.376005491286687,1,1,1
"G1 phase of mitotic cell cycle [GO:0000080]",0.462329059508607,1,0.114461612027293,0.936048303648317,0.911383205070204,1,0.332445782270918,0.0928733111076518,1,0.0485394971650256
"G1/S transition of mitotic cell cycle [GO:0000082]",0.56180048776992,0.446681509586856,0.129614708850618,0.943283756918197,0.65729426859817,1,0.386689171689551,0.245861849626371,0.12060406235296,0.153345281284379
"regulation of transcription involved in G1/S phase of mitotic cell cycle [GO:0000083]",0.761443147362903,0.160029600935699,1,0.645351398218014,1,1,1,1,1,1
