"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
"mitochondrion inheritance [GO:0000001]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial genome maintenance [GO:0000002]",0.238659998644689,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"reproduction [GO:0000003]",0.628494154898336,0.926047166858425,0.298604908082821,0.186762852849827,0.344934512648826,0.1650722840267,0.894258171983265,0.895693957735879,1,1,0.469907767086747,1,0.504523051177807,0.975012187971892,0.0348418640833794,0.00550348775835638,1,0.562090609866806,0.12329045749732,1,0.779121613208034,0.227410062853648,1,1,0.111368223935136,0.318842585648261,0.35795128961711,1,1,1
"vacuole inheritance [GO:0000011]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"single strand break repair [GO:0000012]",1,1,1,1,0.0588083236396537,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"alpha-glucoside transport [GO:0000017]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of DNA recombination [GO:0000018]",0.797955444611462,1,1,0.310839106796681,1,1,0.433086478970528,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0293834014982124,1,1,1,1,1,1,1
"regulation of mitotic recombination [GO:0000019]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of recombination within rDNA repeats [GO:0000020]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic spindle elongation [GO:0000022]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maltose metabolic process [GO:0000023]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maltose biosynthetic process [GO:0000024]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maltose catabolic process [GO:0000025]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal large subunit assembly [GO:0000027]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal small subunit assembly [GO:0000028]",0.738462917214171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0289988383623515,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell wall mannoprotein biosynthetic process [GO:0000032]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"very long-chain fatty acid metabolic process [GO:0000038]",0.116568516467955,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"low-affinity iron ion transport [GO:0000040]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"transition metal ion transport [GO:0000041]",0.629061964116908,0.326352176109504,1,1,0.720422796853922,0.346578473101705,0.908032395589513,1,1,1,1,1,0.00532826720513022,1,1,1,1,1,0.0555479235161261,1,1,0.0809544006387094,1,1,1,1,1,1,1,1
"protein targeting to Golgi [GO:0000042]",1,1,1,0.0717332299340828,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ascorbate stabilization [GO:0000044]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"autophagic vacuole assembly [GO:0000045]",0.898506350091499,0.155637619763524,0.136420276859758,1,0.420602867428015,1,1,0.189079805100007,0.0138797439359115,1,1,1,1,1,1,1,1,0.216668083374894,1,1,1,1,1,1,1,1,1,1,1,1
"autophagic vacuole fusion [GO:0000046]",0.738462917214171,0.0368796897060133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"urea cycle [GO:0000050]",0.93163214690327,1,1,1,0.215322389972321,1,0.364922170343198,1,1,1,0.0611158626662254,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"urea cycle intermediate metabolic process [GO:0000051]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"citrulline metabolic process [GO:0000052]",1,1,1,1,1,0.0396684019723378,1,0.0454862805528009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"argininosuccinate metabolic process [GO:0000053]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal subunit export from nucleus [GO:0000054]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal large subunit export from nucleus [GO:0000055]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal small subunit export from nucleus [GO:0000056]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, docking [GO:0000059]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, translocation [GO:0000060]",0.153593777830388,1,1,1,1,1,0.67873398228992,1,1,1,1,1,0.440311292584648,1,1,1,1,1,0.0268285918508587,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, substrate release [GO:0000061]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial ornithine transport [GO:0000066]",0.48856145792943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNA replication and chromosome cycle [GO:0000067]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic sister chromatid segregation [GO:0000070]",0.570911420309133,0.23144623310878,1,1,0.0452824077437634,1,1,1,1,1,1,1,0.0406566254648103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"M phase specific microtubule process [GO:0000072]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"spindle pole body separation [GO:0000073]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"cell cycle checkpoint [GO:0000075]",0.674256229366088,1,0.389208383336028,0.855943388539086,0.727732526368459,0.815245539774011,0.274268022669834,0.573315802472069,1,1,0.731618014700886,0.124499537647643,0.695861980748691,0.385385599644827,1,0.342732739099403,1,0.383885608912844,0.202914281740448,0.329683084029534,0.445214837922771,0.284667597783218,1,0.417837557175637,1,1,1,1,1,1
"DNA replication checkpoint [GO:0000076]",0.93163214690327,1,1,0.0279628181275,1,1,1,1,1,1,1,1,0.20709914248819,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"DNA damage checkpoint [GO:0000077]",0.701576701949674,1,0.204993445233408,0.518242262535329,0.819190360119719,0.652101094077299,0.669071168531153,0.703099931007854,1,1,0.560622561278375,0.320086737268935,0.567911763242885,0.569562271428913,1,0.535883538680638,1,0.407400771576818,1,0.221276256164,0.242216902130859,0.188978357695486,1,1,1,1,1,1,1,1
"cell shape checkpoint [GO:0000078]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cyclin-dependent protein kinase activity [GO:0000079]",0.526473915896521,0.409609821121701,0.366737380305316,0.876064759538067,0.817334230701962,0.433136717296369,0.590819794266685,1,0.0426033216084448,1,1,1,0.473663975994651,0.364399693640655,1,1,1,0.532650336558667,1,1,0.400823353015994,1,1,1,1,1,1,1,1,1
