ClusterNo,P-Value,term
0,0.00323375197047387,histone monoubiquitination [GO:0010390]
0,0.00471375693805211,regulation of chemokine production [GO:0032642]
0,0.00623412184170413,regulation of glucose transport [GO:0010827]
1,0.00201406051041164,heme transport [GO:0015886]
1,0.00201406051041164,"negative regulation of mRNA splicing, via spliceosome [GO:0048025]"
1,0.00243797112155942,termination of RNA polymerase II transcription [GO:0006369]
2,0.00152104640782399,long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]
2,0.00152104640782399,fatty-acyl-CoA biosynthetic process [GO:0046949]
2,0.00372266748060429,anterior/posterior axis specification [GO:0009948]
3,0.000599011417096581,cardiac septum development [GO:0003279]
3,0.00145223579786824,artery morphogenesis [GO:0048844]
3,0.00329065566688857,estrogen metabolic process [GO:0008210]
4,0.000773054437550724,ubiquinone metabolic process [GO:0006743]
4,0.000773054437550724,ubiquinone biosynthetic process [GO:0006744]
4,0.000773054437550724,quinone cofactor biosynthetic process [GO:0045426]
5,0.00383261882571605,organ growth [GO:0035265]
5,0.00383261882571605,regulation of organ growth [GO:0046620]
5,0.00383261882571605,pigment cell differentiation [GO:0050931]
6,0.000152912895480269,cell-substrate junction assembly [GO:0007044]
6,0.000214944698799602,focal adhesion assembly [GO:0048041]
6,0.00056921414805472,cell-matrix adhesion [GO:0007160]
7,6.21892734282212e-05,vesicle localization [GO:0051648]
7,0.000391505679488929,COPI-coated vesicle budding [GO:0035964]
7,0.000391505679488929,Golgi vesicle budding [GO:0048194]
8,0.00155098875533199,protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine [GO:0018272]
8,0.00155098875533199,protein-pyridoxal-5-phosphate linkage [GO:0018352]
8,0.00155098875533199,cysteine biosynthetic process [GO:0019344]
9,0.00426521907716204,mitotic spindle organization in nucleus [GO:0030472]
9,0.00426521907716204,negative regulation of protein dephosphorylation [GO:0035308]
9,0.00851279505576252,negative regulation of dephosphorylation [GO:0035305]
10,0.000192035514836086,regulation of angiogenesis [GO:0045765]
10,0.000251498980284841,regulation of vasculature development [GO:1901342]
10,0.000951700202823964,regulation of synapse organization [GO:0050807]
11,0.000395453458989637,protein tetramerization [GO:0051262]
11,0.00598906544775271,neurotransmitter secretion [GO:0007269]
11,0.00736719658782414,endochondral bone growth [GO:0003416]
12,0.00251477052184448,regulation of nitrogen compound metabolic process [GO:0051171]
12,0.00279633230628264,response to stimulus [GO:0050896]
12,0.00316874059953655,neuropeptide catabolic process [GO:0010813]
13,0.00149697009990206,embryonic skeletal joint morphogenesis [GO:0060272]
13,0.00246878055129159,embryonic skeletal joint development [GO:0072498]
13,0.00714382041308434,positive regulation of protein catabolic process [GO:0045732]
14,0.00183813418854416,multi-organism process [GO:0051704]
14,0.00323122657360675,abscission [GO:0009838]
14,0.00323122657360675,virion assembly [GO:0019068]
15,0.00124455360585276,embryonic cranial skeleton morphogenesis [GO:0048701]
15,0.00288123907242862,ribonucleoprotein complex assembly [GO:0022618]
15,0.00373498517624318,ribonucleoprotein complex subunit organization [GO:0071826]
16,0.00256012564281056,cellular component assembly involved in morphogenesis [GO:0010927]
16,0.00413196021909001,signal transduction downstream of smoothened [GO:0007227]
16,0.00413196021909001,positive regulation of hh target transcription factor activity [GO:0007228]
17,0.000712440349285234,positive regulation of transcription from RNA polymerase I promoter [GO:0045943]
17,0.00140740747240702,neuron migration [GO:0001764]
17,0.00209955756457103,regulation of transcription from RNA polymerase I promoter [GO:0006356]
