"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"mitochondrion inheritance [GO:0000001]",1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial genome maintenance [GO:0000002]",1,1,1,1,1,1,1,1,1,1,1,1
"reproduction [GO:0000003]",0.000421137512479096,1,0.986707673558784,0.957884273135424,1,1,0.636281500729949,1,1,1,0.21773587765848,1
"vacuole inheritance [GO:0000011]",1,1,1,1,1,1,1,1,1,1,1,1
"single strand break repair [GO:0000012]",1,1,1,1,1,1,1,1,1,1,1,1
"alpha-glucoside transport [GO:0000017]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of DNA recombination [GO:0000018]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of mitotic recombination [GO:0000019]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of recombination within rDNA repeats [GO:0000020]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic spindle elongation [GO:0000022]",1,1,1,1,1,1,1,1,1,1,1,1
"maltose metabolic process [GO:0000023]",1,1,1,1,1,1,1,1,1,1,1,1
"maltose biosynthetic process [GO:0000024]",1,1,1,1,1,1,1,1,1,1,1,1
"maltose catabolic process [GO:0000025]",1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal large subunit assembly [GO:0000027]",1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal small subunit assembly [GO:0000028]",1,1,1,1,1,1,1,1,1,1,1,1
"cell wall mannoprotein biosynthetic process [GO:0000032]",1,1,1,1,1,1,1,1,1,1,1,1
"very long-chain fatty acid metabolic process [GO:0000038]",1,1,1,1,1,1,1,1,1,1,1,1
"low-affinity iron ion transport [GO:0000040]",1,1,1,1,1,1,1,1,1,1,1,1
"transition metal ion transport [GO:0000041]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"protein targeting to Golgi [GO:0000042]",1,1,1,1,1,1,1,1,1,1,1,1
"ascorbate stabilization [GO:0000044]",1,1,1,1,1,1,1,1,1,1,1,1
"autophagic vacuole assembly [GO:0000045]",1,1,1,1,1,1,1,1,1,1,1,1
"autophagic vacuole fusion [GO:0000046]",1,1,1,1,1,1,1,1,1,1,1,1
"urea cycle [GO:0000050]",1,1,1,1,1,1,1,1,1,1,1,1
"urea cycle intermediate metabolic process [GO:0000051]",1,1,1,1,1,1,1,1,1,1,1,1
"citrulline metabolic process [GO:0000052]",1,1,1,1,1,1,1,1,0.0123203285420944,1,1,1
"argininosuccinate metabolic process [GO:0000053]",1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal subunit export from nucleus [GO:0000054]",1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal large subunit export from nucleus [GO:0000055]",1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal small subunit export from nucleus [GO:0000056]",1,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, docking [GO:0000059]",1,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, translocation [GO:0000060]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"protein import into nucleus, substrate release [GO:0000061]",1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial ornithine transport [GO:0000066]",1,1,1,1,1,1,1,1,1,1,1,1
"DNA replication and chromosome cycle [GO:0000067]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic sister chromatid segregation [GO:0000070]",1,1,1,1,1,1,1,1,1,1,1,1
"M phase specific microtubule process [GO:0000072]",1,1,1,1,1,1,1,1,1,1,1,1
"spindle pole body separation [GO:0000073]",1,1,1,1,1,1,1,1,1,1,1,1
"cell cycle checkpoint [GO:0000075]",0.649730509295699,1,0.311643985468965,1,1,1,0.265213649938136,1,1,1,1,1
"DNA replication checkpoint [GO:0000076]",1,1,1,1,1,1,1,1,1,1,1,1
"DNA damage checkpoint [GO:0000077]",0.544273028223436,1,0.626497409155806,1,1,1,0.206168318236736,1,1,1,1,1
"cell shape checkpoint [GO:0000078]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of cyclin-dependent protein kinase activity [GO:0000079]",1,1,1,1,1,1,1,1,1,1,1,1
"G1 phase of mitotic cell cycle [GO:0000080]",1,1,1,1,1,1,1,1,1,1,1,1
"G1/S transition of mitotic cell cycle [GO:0000082]",0.227900585006648,1,0.731448550384753,1,1,1,0.265213649938136,1,1,1,1,1
"regulation of transcription involved in G1/S phase of mitotic cell cycle [GO:0000083]",1,1,1,1,1,1,1,1,1,1,1,1
"S phase of mitotic cell cycle [GO:0000084]",0.544273028223436,1,0.626497409155806,1,1,1,0.206168318236736,1,1,1,1,1
"G2 phase of mitotic cell cycle [GO:0000085]",1,1,1,1,1,1,1,1,1,1,1,1
"G2/M transition of mitotic cell cycle [GO:0000086]",1,1,1,1,1,1,1,1,1,1,1,1
"M phase of mitotic cell cycle [GO:0000087]",0.133752217186103,1,0.626497409155806,1,1,1,1,1,1,1,1,1
"mitotic prophase [GO:0000088]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic metaphase [GO:0000089]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic anaphase [GO:0000090]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic anaphase A [GO:0000091]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic anaphase B [GO:0000092]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic telophase [GO:0000093]",1,1,1,1,1,1,1,1,1,1,1,1
"septin assembly and septum formation [GO:0000094]",1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid metabolic process [GO:0000096]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid biosynthetic process [GO:0000097]",1,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid catabolic process [GO:0000098]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"sulfur amino acid transport [GO:0000101]",1,1,1,1,1,1,1,1,1,1,1,1
"sulfate assimilation [GO:0000103]",1,1,1,1,1,1,1,1,1,1,1,1
"histidine biosynthetic process [GO:0000105]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G1 phase of mitotic cell cycle [GO:0000114]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in S phase of mitotic cell cycle [GO:0000115]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2-phase of mitotic cell cycle [GO:0000116]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transcription involved in G2/M-phase of mitotic cell cycle [GO:0000117]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transcription from RNA polymerase II promoter [GO:0000122]",0.793469700140978,1,0.0540875392995269,0.765385300263881,1,1,1,1,1,1,1,1
"flocculation [GO:0000128]",1,1,1,1,1,1,1,1,1,1,1,1
"establishment of mitotic spindle orientation [GO:0000132]",1,1,1,1,1,1,1,1,1,1,1,1
"septin checkpoint [GO:0000135]",1,1,1,1,1,1,1,1,1,1,1,1
"actin cortical patch assembly [GO:0000147]",1,1,1,1,1,1,1,1,1,1,1,1
"rRNA modification [GO:0000154]",1,1,1,1,1,1,1,1,1,1,1,1
"phosphorelay signal transduction system [GO:0000160]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in osmosensory signaling pathway [GO:0000161]",1,1,1,1,1,1,1,1,1,1,1,1
"tryptophan biosynthetic process [GO:0000162]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade [GO:0000165]",0.544273028223436,1,0.626497409155806,0.514398361471048,1,1,1,1,1,1,1,1
"activation of MAPKKK activity involved in osmosensory signaling pathway [GO:0000167]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in osmosensory signaling pathway [GO:0000168]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in osmosensory signaling pathway [GO:0000169]",1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in osmosensory signaling pathway [GO:0000173]",1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (mating sensu Saccharomyces) [GO:0000174]",1,1,1,1,1,1,1,1,1,1,1,1
"chromatin silencing at rDNA [GO:0000183]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]",0.0525261743605344,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK activity [GO:0000185]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity [GO:0000186]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity [GO:0000187]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity [GO:0000188]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus [GO:0000189]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade (pseudohyphal growth) [GO:0000190]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK (pseudohyphal growth) [GO:0000191]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK (pseudohyphal growth) [GO:0000192]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK (pseudohyphal growth) [GO:0000193]",1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK (pseudohyphal growth) [GO:0000194]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK (pseudohyphal growth) [GO:0000195]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPK cascade involved in cell wall biogenesis [GO:0000196]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK activity involved in cell wall biogenesis [GO:0000197]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK activity involved in cell wall biogenesis [GO:0000198]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK activity involved in cell wall biogenesis [GO:0000199]",1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK activity involved in cell wall biogenesis [GO:0000200]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in cell wall biogenesis [GO:0000201]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPKKK cascade during sporulation (sensu Saccharomyces) [GO:0000202]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKKK during sporulation (sensu Saccharomyces) [GO:0000203]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPKK during sporulation (sensu Saccharomyces) [GO:0000204]",1,1,1,1,1,1,1,1,1,1,1,1
"activation of MAPK during sporulation (sensu Saccharomyces) [GO:0000205]",1,1,1,1,1,1,1,1,1,1,1,1
"inactivation of MAPK during sporulation (sensu Saccharomyces) [GO:0000206]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear translocation of MAPK during sporulation (sensu Saccharomyces) [GO:0000207]",1,1,1,1,1,1,1,1,1,1,1,1
"MAPK import into nucleus involved in osmosensory signaling pathway [GO:0000208]",1,1,1,1,1,1,1,1,1,1,1,1
"protein polyubiquitination [GO:0000209]",0.544273028223436,1,0.626497409155806,1,1,1,0.206168318236736,1,1,1,1,1
"meiotic spindle organization [GO:0000212]",1,1,1,1,1,1,1,1,1,1,1,1
"M/G1 transition of mitotic cell cycle [GO:0000216]",1,1,1,1,1,1,1,1,1,1,1,1
"microtubule cytoskeleton organization [GO:0000226]",1,1,0.135638966016693,0.700835224146007,1,1,1,1,1,0.189868982661709,1,1
"mitotic prometaphase [GO:0000236]",1,1,0.279260780287474,1,1,1,1,1,1,1,1,1
"leptotene [GO:0000237]",1,1,1,1,1,1,1,1,1,1,1,1
"zygotene [GO:0000238]",1,1,1,1,1,1,1,1,1,1,1,1
"pachytene [GO:0000239]",1,1,1,1,1,1,1,1,1,1,1,1
"diplotene [GO:0000240]",1,1,1,1,1,1,1,1,1,1,1,1
"diakinesis [GO:0000241]",1,1,1,1,1,1,1,1,1,1,1,1
"assembly of spliceosomal tri-snRNP [GO:0000244]",1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal complex assembly [GO:0000245]",1,1,1,1,1,1,1,1,1,1,1,1
"allantoin metabolic process [GO:0000255]",1,1,1,1,1,1,1,1,1,1,1,1
"allantoin catabolic process [GO:0000256]",1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial fission [GO:0000266]",1,1,1,1,1,1,1,1,1,1,1,1
"peptidoglycan metabolic process [GO:0000270]",1,1,1,1,1,1,1,1,1,1,1,1
"polysaccharide biosynthetic process [GO:0000271]",0.229979466119096,1,1,1,1,1,1,1,1,1,1,1
"polysaccharide catabolic process [GO:0000272]",1,1,1,1,1,1,1,1,1,1,1,1
"mitotic cell cycle [GO:0000278]",0.0522452299357654,1,0.626548846418569,1,1,1,0.417864308327674,1,1,1,1,1
"M phase [GO:0000279]",0.0396038493655576,1,0.731448550384753,1,1,1,1,1,1,1,1,1
"nuclear division [GO:0000280]",0.407432757877658,1,0.480949121606206,1,1,1,1,1,1,1,1,1
"cytokinesis after mitosis [GO:0000281]",1,1,1,1,1,1,1,1,1,1,1,1
"cellular bud site selection [GO:0000282]",1,1,1,1,1,1,1,1,1,1,1,1
"shmoo orientation [GO:0000284]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]",1,1,0.480949121606206,1,1,1,0.142520343752376,1,1,1,1,1
"nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]",1,1,1,1,1,1,1,1,1,1,1,1
"deadenylation-dependent decapping of nuclear-transcribed mRNA [GO:0000290]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, exonucleolytic [GO:0000291]",1,1,0.480949121606206,1,1,1,0.142520343752376,1,1,1,1,1
"RNA fragment catabolic process [GO:0000292]",1,1,1,1,1,1,1,1,1,1,1,1
"nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]",1,1,1,1,1,1,1,1,1,1,1,1
"spermine transport [GO:0000296]",1,1,1,1,1,1,1,1,1,1,1,1
"retrograde transport, vesicle recycling within Golgi [GO:0000301]",1,1,1,1,1,1,1,1,1,1,1,1
"response to reactive oxygen species [GO:0000302]",1,1,1,1,1,1,1,1,1,1,1,1
"response to superoxide [GO:0000303]",1,1,1,1,1,1,1,1,1,1,1,1
"response to singlet oxygen [GO:0000304]",1,1,1,1,1,1,1,1,1,1,1,1
"response to oxygen radical [GO:0000305]",1,1,1,1,1,1,1,1,1,1,1,1
"sulfite transport [GO:0000316]",1,1,1,1,1,1,1,1,1,1,1,1
"re-entry into mitotic cell cycle [GO:0000320]",1,1,1,1,1,1,1,1,1,1,1,1
"re-entry into mitotic cell cycle after pheromone arrest [GO:0000321]",1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of transposition, DNA-mediated [GO:0000335]",1,1,1,1,1,1,1,1,1,1,1,1
"positive regulation of transposition, DNA-mediated [GO:0000336]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of transposition, DNA-mediated [GO:0000337]",1,1,1,1,1,1,1,1,1,1,1,1
"protein deneddylation [GO:0000338]",1,1,1,1,1,1,1,1,1,1,1,1
"mRNA branch site recognition [GO:0000348]",1,1,1,1,1,1,1,1,1,1,1,1
"generation of catalytic spliceosome for first transesterification step [GO:0000349]",1,1,1,1,1,1,1,1,1,1,1,1
"generation of catalytic spliceosome for second transesterification step [GO:0000350]",1,1,1,1,1,1,1,1,1,1,1,1
"trans assembly of SL-containing precatalytic spliceosome [GO:0000352]",1,1,1,1,1,1,1,1,1,1,1,1
"formation of quadruple SL/U4/U5/U6 snRNP [GO:0000353]",1,1,1,1,1,1,1,1,1,1,1,1
"cis assembly of pre-catalytic spliceosome [GO:0000354]",1,1,1,1,1,1,1,1,1,1,1,1
"mRNA trans splicing, via spliceosome [GO:0000365]",1,1,1,1,1,1,1,1,1,1,1,1
"intergenic mRNA trans splicing [GO:0000366]",1,1,1,1,1,1,1,1,1,1,1,1
"Group I intron splicing [GO:0000372]",1,1,1,1,1,1,1,1,1,1,1,1
"Group II intron splicing [GO:0000373]",1,1,1,1,1,1,1,1,1,1,1,1
"Group III intron splicing [GO:0000374]",1,1,1,1,1,1,1,1,1,1,1,1
"RNA splicing, via transesterification reactions [GO:0000375]",0.0396038493655576,1,0.731448550384753,1,1,1,1,1,1,1,1,1
"RNA splicing, via transesterification reactions with guanosine as nucleophile [GO:0000376]",1,1,1,1,1,1,1,1,1,1,1,1
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile [GO:0000377]",0.0396038493655576,1,0.731448550384753,1,1,1,1,1,1,1,1,1
"RNA exon ligation [GO:0000378]",1,1,1,1,1,1,1,1,1,1,1,1
"tRNA-type intron splice site recognition and cleavage [GO:0000379]",1,1,1,1,1,1,1,1,1,1,1,1
"alternative mRNA splicing, via spliceosome [GO:0000380]",1,1,1,1,1,1,1,1,1,1,1,1
"regulation of alternative mRNA splicing, via spliceosome [GO:0000381]",1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal snRNP assembly [GO:0000387]",1,1,1,1,1,1,1,1,1,1,1,1
"spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]",1,1,1,1,1,1,1,1,1,1,1,1
"mRNA 3'-splice site recognition [GO:0000389]",1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal complex disassembly [GO:0000390]",1,1,1,1,1,1,1,1,1,1,1,1
"spliceosomal conformational changes to generate catalytic conformation [GO:0000393]",1,1,1,1,1,1,1,1,1,1,1,1
"RNA splicing, via endonucleolytic cleavage and ligation [GO:0000394]",1,1,1,1,1,1,1,1,1,1,1,1
"mRNA 5'-splice site recognition [GO:0000395]",1,1,1,1,1,1,1,1,1,1,1,1
"mRNA splicing, via spliceosome [GO:0000398]",0.0396038493655576,1,0.731448550384753,1,1,1,1,1,1,1,1,1
"regulation of transcription by galactose [GO:0000409]",1,1,1,1,1,1,1,1,1,1,1,1
