,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
MTVR2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATRX,0,0.010886145,0,0.010288752,0.011181592,0.006341445,0.006228723,0.05209943,0.11714706,0.045804425,0.127865015,0.14400052,0.064381715,0.32232245,0.093251614,0.08712162,0.152291555,0.122011765,0.17018676,0.240402323
LOC441204,0,0,0,0.09107653,0,0.006928509,0.016626381,0.005594564,0,0,0,0,0,0,0,0,0,0,0,0
TCOF1,0.172476535,0.180229955,0,0.20890092,0.070285865,0.09825497,0.33381575,0.39432425,0.163229105,0.3680202,0.31512065,0.219977365,0.29203547,0.113309315,0.178860835,0.19660768,0.167909835,0.23004172,0.11848349,0.183344375
NSRP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPPL3,0,0,0,0,0.001287766,0,0.007329134,0.000555053,0.002032805,0.005282969,0,0.000900576,0.001950693,0.002726309,0,0,0.004574796,0.002873871,0.004477343,0.008789477
OPA3,0,0,0,0,0.00199415,0,0.005987621,0.000840949,0.002138038,0.001891029,0,0.005349201,0.001117082,0.003102674,0,0,0,0.002696877,0.003451434,0.010522396
OPA1,0,0.01057685,0,0.018726368,0.007602316,0.002311923,0.016040628,0.000992218,0.004244941,0.005747724,0.010998498,0.002771678,0.001298465,0.000462673,0.010150435,0.003956153,0.005238396,0.003218842,0.00258537,0.008544999
ITGA8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA9,0,0,0,0,0,0.001525581,0,0,0,0,0,0,0,0,0,0,0,0,0.011716003,0
ITGA1,0,0,0,0.016778468,0.000165066,0.006440622,0.01105604,0,0,0.003336862,0,0,0.001641561,0,0.006315526,0,0.003811694,0.003709731,0,0.011599764
ITGA2,0.016439175,0,0,0.009388662,0.001476677,0.001524315,0,0.010304559,0.008432747,0.00697952,0.027166989,0.003328674,0.009101247,0.000259018,0.01256374,0.007846804,0.013863689,0.006094477,0.007396374,0.004715513
ITGA3,0,0,0,0.0108771,0.004495993,0.014465004,0.006710377,0.010370166,0.005662208,0.014598521,0,0.020034271,0.022611758,0.03078546,0.018686474,0.024725952,0.012757122,0.013053117,0.026195391,0.011359459
ITGA4,0,0.010644553,0,0,0.002872111,0.002406017,0.009049857,0.005172095,0.004365782,0.004049868,0,0.004269438,0.006368618,0.009456138,0.015327728,0.004057159,0.010242962,0.007571748,0.017891647,0.008785202
ITGA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004446334
ITGA6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGA7,0,0,0,0,0.001912326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRHR,0,0,0,0.028411656,0,0,0,0,0,0,0,0.028382978,0,0.012001891,0,0.010350993,0,0,0,0
LOC100132287,0.014389547,0.00868984,0.093432165,0.00792361,9.53E-06,0,0.004638599,0.000331844,0.000514984,0.292709695,0.00377876,0.000467883,0.00044304,1.38E-05,0.003959211,0.001126172,0.00136211,0.3312115,0.000752361,1.0662909
UFSP2,0,0,0,0,0,0,0,0,0,0,0,0.003898979,0,0,0,0.003322715,0,0,0,0
FAM212B,0,0,0,0,0.000125893,0.000493259,0,0.000863953,0,0,0,0,0,2.37E-05,0,0.001198344,0,0,0,0.001932634
FAM212A,0.06312108,0,0,0,0.020272161,0,0,0.021533333,0.023799805,0.011481492,0,0,0.07984064,0.168233195,0,0.031794195,0,0.059245545,0.058607735,0.022791179
CHST9,0,0,0,0,0.016251252,0.004302209,0,0,0.00917316,0,0.011099084,0.016931392,0.021137279,0.020200279,0,0,0,0,0.014764136,0.037712715
CHST8,0.04944391,0.086588465,0,0.016922801,0.06305994,0.06575722,0.05584566,0.058875865,0.016939973,0.037712715,0.021859096,0.041658715,0.011500859,0.13049203,0.028625652,0.039620465,0.030044981,0.05788654,0.071431585,0.060739775
CHST1,0,0,0,0,0.000216139,0.011882717,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST3,0.016758366,0.018572153,0.205080335,0.012738414,0.004843961,0.003659129,0.038545015,0.003086483,0.009431844,0.003454671,0.005520654,0.008614147,0.000723015,0.000386975,0.011535459,0.002214328,0,0.003128418,0.002673489,0.005481218
CHST2,0,0,0,0,0.000202755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHST5,0,0,0,0,0,0.002230339,0,0,0,0,0,0,0,0.000451308,0,0,0.001749645,0,0,0
CHST4,0,0.020411759,0,0.019465788,0.001371692,0.024056405,0,0.017377434,0.01988633,0,0,0,0,0,0,0,0.007934642,0,0,0
CHST7,0.092810095,0,0,0,0.061439135,0.021981878,0.05824894,0.045990945,0.026930353,0.031758455,0.026998646,0.04006303,0.021229912,0.35536195,0.009888046,0.024677645,0.097779555,0.022008308,0.084526365,0.06471969
CHST6,0,0,0,0,0.000102845,0.000681091,0,0,0,0,0.005395295,0,0,0,0,0,0,0,0,0
ITGAX,0.028967272,0.011852919,0,0.01112948,0.040948715,0.020924285,0,0.001302085,0.019099318,0.014519872,0.017541692,0.04534331,0.008776858,0.102121419,0.004459539,0.020442386,0.048555805,0.027441391,0.041330895,0.034084305
BCL2A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITGAV,0,0,0,0,0.000105865,0,0,0.00194411,0,0,0.00545093,0.003804882,0.001230847,0.008332716,0,0.002271401,0.003248764,0.004776736,0,0
PREP,0,0,0,0,0.000352397,0.002675269,0,0,0.003051121,0.006456626,0,0.018695149,0.003086483,0.020594397,0,0,0.011169951,0.005744438,0.028149198,0.006336664
ITGAL,0.13929846,0.11298743,0,0.17675455,0.195793945,0.14268693,0.101482044,0.115499445,0.049586415,0.098124406,0.174284075,0.133666335,0.169376665,0.031454,0.20403,0.156614265,0.15533399,0.133936945,0.30244006,0.181439135
ITGAM,0.021994156,0.025813632,0,0.024760521,0.015371205,0.015500966,0.011491059,0.0308811,0.037141415,0.018695149,0.012211447,0.021756273,0.01722673,0.08377664,0.00901265,0.025744453,0.010857883,0.04264376,0.016778468,0.007739125
ITGAD,0.36133865,0.224472805,0,0.248692105,0.3598399,0.37739855,0.312208575,0.4590675,0.55772605,0.3460931,0.4208201,0.36840485,0.3312115,0.22199719,0.213873985,0.15499612,0.14979121,0.266329,0.24838292,0.19346865
ITGAE,0.083610525,0.08978624,0,0.091774885,0.04470605,0.101257127,0.105094043,0.154061545,0.121383665,0.11418402,0.221821685,0.114710115,0.20130203,0.011891214,0.114854935,0.14224083,0.10769466,0.13323645,0.128617705,0.17339293
IGF2R,0.015920765,0.009807706,0,0,0.01101484,0.020934847,0.016243649,0.012928393,0.018943013,0.012167652,0.008999565,0.018085463,0.011334916,0.025674849,0.014451155,0.007994485,0.02765138,0.015366144,0.013101365,0.005891236
SLC36A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC36A3,0.117380885,0.050745575,0,0.070511985,0.01063531,0.03374224,0.08914348,0.056886575,0.05578023,0.028777337,0.061439135,0.024444654,0.03821449,0.016125978,0.0358024,0.07016175,0.034818735,0.03374224,0.016995012,0.05480649
CKS1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC36A1,0.065945205,0.07686656,0,0.03953711,0.160023135,0.17710068,0.06543218,0.150109865,0.113168205,0.19216853,0.06077217,0.067374575,0.106577655,0.1661337,0.057669085,0.03709685,0.019048728,0.04160557,0.03299128,0.026972238
ARTN,0,0.044808575,0.26856778,0,0.039670465,0.006125153,0.040424055,0.028122417,0.045096095,0.011676746,0.035123405,0.016104245,0.026915145,0.085055015,0.012182861,0.024643308,0.039418515,0.029618804,0.070949985,0
ART1,0,0,0,0,0.00497944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
