GeneID:TranscriptId,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
POLR2E:NM_002695,14.9422196803,16.3586229044,0.0,21.4938814525,18.5816896932,18.136534988,17.8763498023,24.2978732055,22.1762345548,22.5305949443,30.5495531776,30.9540226599,25.1319306705,17.2693724361,36.0807441314,48.9203151113,40.424099104,39.4981743925,38.9747630512,30.8782176975
TNFSF14:NM_172014,0.0,0.0,0.0,0.0,0.0009343218,0.0,0.0,0.0105473538,0.0,0.0055734537,0.0,0.0005529479,0.0,0.0102441033,0.0149644708,0.0047146008,0.0074413495,0.0097456531,0.0,0.0
ABHD16A:NM_001177515_1,0.4370853885,0.4749025183,0.0,0.3643655551,0.2792485217,0.5805910864,0.7572275689,0.7210922688,0.5624136391,0.6929320901,0.4448424611,0.6506247778,0.4863393244,2e-10,0.7406054984,0.3986110769,0.4440560495,0.4507698183,0.1810403442,0.2166522323
CYFIP1:NM_014608,0.0,0.0,0.0,0.0,2.026e-07,2.262e-07,0.0,3.226e-07,3.516e-07,3.307e-07,0.0,3.063e-07,0.0039480807,0.0051362627,0.0,0.0,0.0,3.541e-07,4.533e-07,3.845e-07
DUSP16:NM_030640,0.003505913,0.006039473,0.0,0.0018186646,0.0016220121,0.0047773919,0.0016740508,0.0220574286,0.0,0.0046780249,0.0022901979,0.011793917,0.0043967273,0.0180462531,0.0125790652,0.0071622535,0.0114613783,0.0061239878,0.0030178634,0.0
DLL3:NM_016941,0.0,2.9649e-06,0.0,1.7679e-06,1.657e-06,0.0292533777,1.5679e-06,2.2997e-06,2.2019e-06,2.2616e-06,2.1924e-06,1.6301e-06,2.3452e-06,1.7581e-06,1.7609e-06,0.0,2.9674e-06,3.1117e-06,2.818e-06,2.6173e-06
GLOD4:NM_016080,0.0,0.0,0.0,0.0068312553,0.0362577268,0.0356581674,0.0185477611,0.0254320816,0.0486742164,0.0089811315,0.0,0.0074391053,0.0083497961,0.0076162663,0.0079636316,0.0090860071,0.0219402717,0.0117626144,0.0498594312,0.0109628023
HNRNPA1P33:NR_003277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498649268,0.0,0.0,0.0435180624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VAMP4:NM_001185127,0.0,0.0074899833,0.0211180108,0.0024221383,0.0121471136,0.0088684852,0.0041471607,0.0059895563,0.0134266217,0.0148634406,0.0071094698,0.0026244154,0.0095393415,0.0048179918,1.89e-08,0.0029541607,2.33e-08,2.99e-08,2.58e-08,4.34e-08
COA1:NR_047701,0.0,0.0194737279,0.0,0.0195709939,0.048679129,0.0375989287,0.0178872105,0.0601419071,0.0917797068,0.0812849118,0.0248717506,0.0848768885,0.023766861,0.1339368944,0.0271998378,0.0309986236,0.0497280573,0.0731706955,0.026142441,0.0374438138
GNB2L1:NM_006098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0212117785,0.0
TRMT61A:NM_152307,0.0070435966,0.0243047758,0.068199305,0.0219803365,0.198702606,0.0768024685,0.0067021023,0.0582461049,0.1844800934,0.1573687735,0.0511554366,0.0952900642,0.0978190419,2.103755696,0.0593663188,0.3382554243,0.3022332014,0.0994988696,0.3972977563,0.2101496312
STK33:NM_030906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007799256,0.0002750989,0.0,0.0,0.0,0.0,0.0088212999,0.0,0.0117581465,0.0,0.0,0.0,0.0141999743
OR7E12P:NR_044999,0.0,0.0551912768,0.0400986151,0.0,0.0391444177,0.0867442725,0.0099390405,0.0282116439,0.0269733501,0.1045205487,0.0,0.085474667,0.0687434352,0.0110284063,0.0262276638,0.0599489983,0.036381944,0.0,0.0190091763,0.0
POLR1C:NM_203290,0.0190985711,0.0165625139,0.0,0.0,0.0529224565,0.0434194762,0.0089751798,0.0396764521,0.0120729895,0.0534649924,0.0,0.0548364533,0.0246771302,0.0595498022,0.011768589,0.0,0.0162951515,0.0875558341,0.0170446005,0.0162006007
OR5C1:NM_001001923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0190639447,0.0,0.0,0.0,0.0,0.0,0.0,0.017563114,0.0,0.0,0.0,0.0,0.0
