GeneID:TranscriptId,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
MTVR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATRX,0.0,0.0033925,0.0,0.00204222,0.0146618,0.00626748,0.00188494,0.081483,0.14903,0.0693966,0.115384,0.191899,0.0801273,0.487677,0.0846432,0.0963592,0.166894,0.15083,0.182657,0.202297
LOC441204,0.0,0.0,0.0,0.0391197,0.0,0.00679795,0.00705756,0.00975405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCOF1,0.0873048,0.110179,0.0,0.109127,0.0744938,0.0819806,0.237921,0.567831,0.202543,0.538493,0.328182,0.282645,0.367073,0.206232,0.173734,0.216031,0.184889,0.278826,0.133389,0.158623
NSRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SPPL3,0.0,0.0,0.0,0.0,0.00504422,0.0,0.00259839,0.000766954,0.00330529,0.00884292,0.0,0.000613235,0.00343165,0.00892178,0.0,0.0,0.0049777,0.0023953,0.00611759,0.00901059
OPA3,0.0,0.0,0.0,0.0,0.00581861,0.0,0.00166821,0.00182951,0.00345791,0.00397696,0.0,0.00774393,0.00174892,0.00975752,0.0,0.0,0.0,0.00205149,0.00442809,0.0104437
OPA1,0.0,0.00306312,0.0,0.00553768,0.0115257,0.00323201,0.00679634,0.00223776,0.00643422,0.00949805,0.00697434,0.00398974,0.00223014,0.00366272,0.00638411,0.00484589,0.00581622,0.00310643,0.00306151,0.00878858
ITGA8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA9,0.0,0.0,0.0,0.0,0.0,0.00258696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014779,0.0
ITGA1,0.0,0.0,0.0,0.00484061,0.00215647,0.00635288,0.0044466,0.0,0.0,0.00624188,0.0,0.0,0.0029295,0.0,0.00279381,0.0,0.00382192,0.00408584,0.0,0.0115381
ITGA2,0.00284122,0.0,0.0,0.00147315,0.00526458,0.00258249,0.0,0.017274,0.011981,0.0113678,0.0204113,0.00477861,0.0124751,0.00219359,0.00849615,0.00967381,0.0162513,0.00743639,0.00977976,0.00467476
ITGA3,0.0,0.0,0.0,0.00237341,0.00846151,0.0124638,0.00218057,0.0173197,0.00829375,0.0229555,0.0,0.0282496,0.0287331,0.0635989,0.0137006,0.0280897,0.0149926,0.0160274,0.0315681,0.0113159
ITGA4,0.0,0.00314116,0.0,0.0,0.00674842,0.00331282,0.00348201,0.00918118,0.00659577,0.00730183,0.0,0.00613501,0.00914891,0.0225268,0.0109063,0.00496799,0.011926,0.00955886,0.0219802,0.00900834
ITGA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436942
ITGA6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITGA7,0.0,0.0,0.0,0.0,0.00572847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TRHR,0.0,0.0,0.0,0.00923804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0403866,0.0,0.0274491,0.0,0.0123656,0.0,0.0,0.0,0.0
