ClusterNo,P-Value,term
0,0.000215422,cellular response to radiation [GO:0071478]
0,0.00104068,cellular response to abiotic stimulus [GO:0071214]
0,0.0017119,cellular response to ionizing radiation [GO:0071479]
1,0.001352089,chromosome organization [GO:0051276]
1,0.001383702,DNA metabolic process [GO:0006259]
1,0.0018958,telomere maintenance [GO:0000723]
2,0.007741803,"negative regulation of gene expression, epigenetic [GO:0045814]"
2,0.009581298,regulation of tube size [GO:0035150]
2,0.009581298,regulation of blood vessel size [GO:0050880]
3,0.047796466,chondroitin sulfate metabolic process [GO:0030204]
3,0.047796466,chondroitin sulfate proteoglycan metabolic process [GO:0050654]
3,0.058118361,O-glycan processing [GO:0016266]
4,0.003101978,traversing start control point of mitotic cell cycle [GO:0007089]
4,0.003101978,nitrogen fixation [GO:0009399]
4,0.003101978,positive regulation of granulocyte chemotaxis [GO:0071624]
5,0.005686959,ribosomal subunit export from nucleus [GO:0000054]
5,0.005686959,ribosomal small subunit export from nucleus [GO:0000056]
5,0.005686959,AMP biosynthetic process [GO:0006167]
6,0.000947557,regulation of protein tyrosine kinase activity [GO:0061097]
6,0.003838111,enzyme linked receptor protein signaling pathway [GO:0007167]
6,0.004668886,regulation of peptidyl-tyrosine phosphorylation [GO:0050730]
7,0.001005525,brain development [GO:0007420]
7,0.001401131,outflow tract morphogenesis [GO:0003151]
7,0.001401131,porphyrin-containing compound biosynthetic process [GO:0006779]
8,1,mitochondrion inheritance [GO:0000001]
8,1,mitochondrial genome maintenance [GO:0000002]
8,1,reproduction [GO:0000003]
9,1,mitochondrion inheritance [GO:0000001]
9,1,mitochondrial genome maintenance [GO:0000002]
9,1,reproduction [GO:0000003]
10,4.20E-05,"negative regulation of mRNA splicing, via spliceosome [GO:0048025]"
10,6.98E-05,negative regulation of mRNA processing [GO:0050686]
10,0.000104569,negative regulation of RNA splicing [GO:0033119]
11,0.000385861,dicarboxylic acid catabolic process [GO:0043649]
11,0.001961024,pyridine-containing compound metabolic process [GO:0072524]
11,0.0037843,dicarboxylic acid metabolic process [GO:0043648]
12,0.001292491,hepatic stellate cell activation [GO:0035733]
12,0.001292491,interleukin-1 biosynthetic process [GO:0042222]
12,0.001292491,interleukin-1 beta biosynthetic process [GO:0050720]
13,1,mitochondrion inheritance [GO:0000001]
13,1,mitochondrial genome maintenance [GO:0000002]
13,1,reproduction [GO:0000003]
14,0.018353367,G-protein coupled receptor signaling pathway [GO:0007186]
14,0.084787385,cell surface receptor signaling pathway [GO:0007166]
14,0.143724958,signal transduction [GO:0007165]
15,0.010469174,regulation of cell morphogenesis [GO:0022604]
