"V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
"mitochondrion inheritance [GO:0000001]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitochondrial genome maintenance [GO:0000002]",0.286982373876238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"reproduction [GO:0000003]",0.609567694425934,0.926047166858425,0.52168926870986,0.587734873533999,0.437774274658186,0.492113642235847,0.909868150260801,1,1,0.350473676690803,0.975750695486186,0.0348418640833794,0.0392713663877202,1,0.594909690285,0.0348418640833794,0.791210270884133,0.238245191991878,0.318842585648261,0.376659002623605
"vacuole inheritance [GO:0000011]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"single strand break repair [GO:0000012]",1,1,1,1,0.0625565464650378,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"alpha-glucoside transport [GO:0000017]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"regulation of DNA recombination [GO:0000018]",0.854065949683407,1,1,0.225485914193992,1,1,1,1,1,1,1,1,0.0974497039582102,1,1,1,1,1,1,1
"regulation of mitotic recombination [GO:0000019]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"negative regulation of recombination within rDNA repeats [GO:0000020]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mitotic spindle elongation [GO:0000022]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maltose metabolic process [GO:0000023]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maltose biosynthetic process [GO:0000024]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"maltose catabolic process [GO:0000025]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal large subunit assembly [GO:0000027]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal small subunit assembly [GO:0000028]",0.784492357931956,1,1,1,1,1,1,1,1,1,1,1,0.0401750061717429,1,1,1,1,1,1,1
"cell wall mannoprotein biosynthetic process [GO:0000032]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"very long-chain fatty acid metabolic process [GO:0000038]",0.153712731088462,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"low-affinity iron ion transport [GO:0000040]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"transition metal ion transport [GO:0000041]",0.293892728466087,0.326352176109504,1,0.762459766615882,0.742925709837005,0.465365227177727,1,1,1,1,1,1,1,1,1,0.0657897571394166,1,0.0834589370501534,1,1
"protein targeting to Golgi [GO:0000042]",1,1,1,0.181594933436733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ascorbate stabilization [GO:0000044]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"autophagic vacuole assembly [GO:0000045]",0.940664090245407,0.155637619763524,0.17545484146884,1,0.441052811363875,1,0.195816939056002,0.015028621904141,1,1,1,1,1,1,0.223200997439457,1,1,1,1,1
"autophagic vacuole fusion [GO:0000046]",0.784492357931956,0.0368796897060133,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"urea cycle [GO:0000050]",0.95358417261966,1,1,0.551462785476083,0.227750135309834,1,1,1,1,0.067511172938003,1,1,1,1,1,1,1,1,1,1
"urea cycle intermediate metabolic process [GO:0000051]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"citrulline metabolic process [GO:0000052]",1,1,1,1,1,0.0578219474532387,0.0472534306804665,1,1,1,1,1,1,1,1,1,1,1,1,1
"argininosuccinate metabolic process [GO:0000053]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal subunit export from nucleus [GO:0000054]",0.535737365904098,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ribosomal large subunit export from nucleus [GO:0000055]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
